title,message
Daycare,
First child,
##### turnip yarn!,
Opened my Lifevault account,
Our wedding day,
##### LV should see this,
Still working,
Try late in the night,
here is my new moment,
Alhambra Gardens,
##### born,
Cartagena,
Catchup with #####,
Clementine’s Birth,
Created LifeVault Account,
##### ##### ##### born,
P785878 died,
Kids at #####’s house,
Lets try some video image and text,
Met ##### at the Irish Pub in Amsterdam,
Moved to #####,
"My daughter and I went and looked at a puppy today. My daughter put a deposit on the puppy. He is a Whippet, white and Brindle, so cute.",
New bag of beans,
New current moment,
Release 2 image,
Represented Australia at the World Seniors Tennis Championships,
Saturday Morning,
Should see this one on LV,
Started Working at Lifevault,
Taj Harland ##### born,
Taj is born,
The moment i got life vault beta access!,
Vetting ready,
Video 2,
Wedding,
Wedding Day!!!,
Wedding!!!,
##### backward,
another request,
The day we start telling the world about Lifevault,"A career making day for me!
It becomes clear the Lifevault launch has been very well received.
No matter what happens from now on I can say I’m the one who got Lifevault to market!!!"
Police helicopter lands behind the house,Damn these things are impressive up close.
Lifevault T-shirts Arrived,"Person1 and Person46454 in the kitchen at 7 ##### Street, #####. Very proud of our Lifevault t-shirts and looking dashing!!"
##### first day of school,##### starting prep with ##### going into grade 2. ##### 5 and ##### 7.
Add video recording,#####&#8217;s new bike
Jiro Ramen,Jiro Ramen with Goto san. Waited 1 and a half hours in line to eat for 10 mins!
Work,##### signed up to Lifevault.
Salmat profile pic,Love adding random words.  Change how this searches
Christmas 2017,Love these little bugs
Married,Married P788797897%$%%$%
New Years,New Years
Second moment,Thats the second photo. Lets see if celery works
My regular day walking to work at NAB,"This is the laneway that I would walk down everyday on the way to work when I was working at NAB. I read once that walking on cobblestone was good for your circulation and I would often take big deep breaths in the morning as grandpa ##### used to say this was a good way to start the day. It would take me about 10 minutes to walk to Burnley station and every now and then I would leave at the same time as Tommy and walk with him, which I always enjoyed. 
On this particular day it was Feb 14th, Valentine'"
,<br/>
" forgot to bring a towel to go down the slide on!""",<br/>Went for a drive out to Vaughan Springs for a change
" titled ""Hang On""","1. Desert
2nd birthday,2 birthday,1
A favourite spot for family camping,##### River Camping,1
Added voice recording 12:12 on 12-02-18.  Song by Michael W Smith"
Tag and delete,Atlas
,Chairs
##### is born,"Cute
a great photo taken the day show was born or maybe the day after"
Became critically ill,"Five surgeries in two weeks, severe sepsis, etc."
6th birthday,Hi there
Started this moment,I met ##### at the bank
1 birthday,I was born
Marriage,"Married P2 d4242 #####.<br/><br/>We eloped, with only the Marriage Celebrant in attendance.<br/><br/>Married on the 127th day of meeting one another."
Lifevault website and web app go live at 11:39pm,"Only #####, #####, #####, ##### and I knew the site was going live."
Inaugural ##### family holiday,Poolside
January,Sitting on the front steps at Maclise Street.
Saturday morning@home,This was the view from my bedroom this morning. Isnt it remarkable?
New Years Day Family Photo 2018,This year ##### said I want to start a family tradition that we take a family photo on New Years Day.<br><br>This is our first one!!!
Married,We got married first
Working on Lifevault,"Working on Lifevault, ironing out the final issues"
##### birth,"Yes, quite a big baby..."
text only,changing this to add a video
